Treatment,ID,ww,sa,dw,wc,sla,,,,
Dry,2000,0.09,3.547,0.029,0.061,122.3103448,,,,
Wet,2000,0.24,8.33,0.04,0.2,208.25,,,,
Dry,2003,0.06,2.143,0.1,-0.04,21.43,,,,
Wet,2003,0.17,5.779,0.028,0.142,206.3928571,,,,
Dry,2006,0.14,5.526,,0.14,#DIV/0!,,,,
Wet,2006,0.16,6.314,0.033,0.127,191.3333333,,,,
Dry,2009,0.06,1.923,0.012,0.048,160.25,,,,
Wet,2009,0.11,4.147,0.011,0.099,377,,,,
Dry,2012,0.13,4.853,0.026,0.104,186.6538462,,,,
Wet,2012,,,,0,#DIV/0!,,,,
Dry,2015,0.11,4.202,0.021,0.089,200.0952381,,,,
Wet,2015,0.08,3.23,0.01,0.07,323,,,,
Dry,2018,0.09,3.954,0.026,0.064,152.0769231,,,,
Wet,2018,0.15,5.01,0.021,0.129,238.5714286,,,,
Dry,2021,0.04,2.479,0.01,0.03,247.9,,,,
Wet,2021,,,,0,#DIV/0!,,,,
Dry,2024,,,,0,#DIV/0!,,,,
Wet,2024,,,,0,#DIV/0!,,,,
Dry,2027,0.09,3.79,0.022,0.068,172.2727273,,,,
Wet,2027,,,,0,#DIV/0!,,,,
Dry,2030,0.08,3.379,0.023,0.057,146.9130435,,,,
Wet,2030,0.12,5.085,0.02,0.1,254.25,,,,
Dry,2033,0.08,2.921,0.015,0.065,194.7333333,,,,
Wet,2033,,,,0,#DIV/0!,,,,
Dry,2036,0.11,3.983,0.021,0.089,189.6666667,,,,
Wet,2036,,,,0,#DIV/0!,,,,
Dry,2039,0.14,5.981,0.022,0.118,271.8636364,,,,
Wet,2039,,,,0,#DIV/0!,,,,
Dry,2042,0.29,9.344,0.045,0.245,207.6444444,,,,
Wet,2042,0.09,3.689,0.017,0.073,217,,,,
Dry,2045,0.14,5.229,0.028,0.112,186.75,,,,
Wet,2045,0.21,7.198,0.02,0.19,359.9,,,,
Dry,2048,0.09,2.94,0.017,0.073,172.9411765,,,,
Wet,2048,0.23,9.125,0.03,0.2,304.1666667,,,,
Dry,2051,0.06,2.631,0.006,0.054,438.5,,,,
Wet,2051,0.19,5.931,0.029,0.161,204.5172414,,,,
Dry,2054,0.14,5.299,0.033,0.107,160.5757576,,,,
Wet,2054,0.12,4.746,0.028,0.092,169.5,,,,
Dry,2057,0.06,2.842,0.017,0.043,167.1764706,,,,
Wet,2057,0.18,7.663,0.03,0.15,255.4333333,,,,
Dry,2060,0.06,2.989,0.016,0.044,186.8125,,,,
Wet,2060,,,,0,#DIV/0!,,,,
Dry,2063,0.1,4.521,0.02,0.08,226.05,,,,
Wet,2063,0.14,6.176,0.028,0.112,220.5714286,,,,
Dry,2066,0.09,3.869,0.017,0.073,227.5882353,,,,
Wet,2066,0.17,6.982,0.037,0.133,188.7027027,,,,
Dry,2069,0.09,3.709,0.02,0.07,185.45,,,,
Wet,2069,0.16,6.351,0.026,0.134,244.2692308,,,,
Dry,2072,,,,0,#DIV/0!,,,,
Wet,2072,,,,0,#DIV/0!,,,,
Dry,2075,0.1,,0.029,0.071,,,,,
Wet,2075,,,,0,#DIV/0!,,,,
Dry,2078,0.06,2.467,0.011,0.049,224.2727273,,,,
Wet,2078,0.14,5.982,0.02,0.12,299.1,,,,
Dry,2081,0.11,3.811,0.015,0.095,254.0666667,,,,
Wet,2081,0.1,3.579,0.015,0.085,238.6,,,,
Dry,2084,0.07,1.993,0.011,0.059,181.1818182,,,,
Wet,2084,0.1,3.916,0.022,0.078,178,,,,
Dry,2087,0.03,1.749,0.005,0.025,349.8,,,,
Wet,2087,0.21,10.383,0.036,0.174,288.4166667,,,,
Dry,2090,0.11,4.695,0.033,0.077,142.2727273,,,,
Wet,2090,0.23,8.175,0.046,0.184,177.7173913,,,,
Dry,2093,0.07,2.527,0.016,0.054,157.9375,,,,
Wet,2093,0.17,7.07,0.02,0.15,353.5,,,,
Dry,2096,0.17,5.8,0.033,0.137,175.7575758,,,,
Wet,2096,,,,0,#DIV/0!,,,,
Dry,2099,0.1,3.57,0.022,0.078,162.2727273,,,,
Wet,2099,0.23,6.665,0.039,0.191,170.8974359,,,,
Dry,2102,0.07,2.963,0.012,0.058,246.9166667,,,,
Wet,2102,0.15,6.009,0.036,0.114,166.9166667,,,,
Dry,2105,0.12,5.04,0.021,0.099,240,,,,
Wet,2105,0.2,7.755,0.051,0.149,152.0588235,,,,
Dry,2108,0.12,3.74,0.018,0.102,207.7777778,,,,
Wet,2108,0.12,4.954,0.02,0.1,247.7,,,,
Dry,2111,0.15,6.119,0.038,0.112,161.0263158,,,,
Wet,2111,0.31,11.155,0.48,-0.17,23.23958333,,,,
Dry,2114,,,,0,#DIV/0!,,,,
Wet,2114,,,,0,#DIV/0!,,,,
Dry,2117,0.07,2.973,0.008,0.062,371.625,,,,
Wet,2117,0.2,9.003,0.054,0.146,166.7222222,,,,
Dry,2120,0.15,5.59,0.041,0.109,136.3414634,,,,
Wet,2120,0.21,7.652,0.032,0.178,239.125,,,,
Dry,2123,0.14,6.053,0.025,0.115,242.12,,,,
Wet,2123,0.15,5.477,0.017,0.133,322.1764706,,,,
Dry,2126,0.17,6.778,0.031,0.139,218.6451613,,,,
Wet,2126,0.26,9.673,0.041,0.219,235.9268293,,,,
Dry,2129,0.07,2.659,0.019,0.051,139.9473684,,,,
Wet,2129,0.19,6.926,0.026,0.164,266.3846154,,,,
Dry,2132,0.12,4.648,0.023,0.097,202.0869565,,,,
